frame,time,confidence,label,x,y
0.0,0.0,0.015620763413608074,sports ball,380.0,72.0
0.0,0.0,0.015436243265867233,sports ball,913.5,68.5
0.0,0.0,0.06295458972454071,sports ball,1179.0,249.0
0.0,0.0,0.0032029100693762302,sports ball,1267.0,386.5
0.0,0.0,0.003263740800321102,sports ball,572.0,100.5
0.0,0.0,0.001089703757315874,sports ball,381.5,118.5
0.0,0.0,0.0010058878688141704,sports ball,633.5,121.5
0.0,0.0,0.002747110789641738,sports ball,361.0,288.0
0.0,0.0,0.00120967673137784,sports ball,701.0,285.0
0.0,0.0,0.008313595317304134,sports ball,917.5,292.5
0.0,0.0,0.018933886662125587,sports ball,625.0,561.5
1.0,0.76,0.015798419713974,sports ball,380.5,72.0
1.0,0.76,0.017794236540794373,sports ball,913.5,68.5
1.0,0.76,0.07185305655002594,sports ball,1179.0,248.5
1.0,0.76,0.0037996359169483185,sports ball,1267.0,386.5
1.0,0.76,0.005264280829578638,sports ball,236.5,663.5
1.0,0.76,0.0031053463462740183,sports ball,573.0,100.5
1.0,0.76,0.0010913119185715914,sports ball,381.5,118.5
1.0,0.76,0.0010498359333723783,sports ball,632.5,121.5
1.0,0.76,0.0026431435253471136,sports ball,364.5,287.0
1.0,0.76,0.008428707718849182,sports ball,917.0,292.5
1.0,0.76,0.14072979986667633,sports ball,588.5,372.0
1.0,0.76,0.005901321303099394,sports ball,630.5,562.0
2.0,1.52,0.011501418426632881,sports ball,379.0,71.5
2.0,1.52,0.01543480809777975,sports ball,913.5,68.5
2.0,1.52,0.06560485064983368,sports ball,1179.5,248.0
2.0,1.52,0.0037202576640993357,sports ball,1267.0,387.0
2.0,1.52,0.00394806731492281,sports ball,236.5,663.0
2.0,1.52,0.004087100271135569,sports ball,573.5,101.5
2.0,1.52,0.0011314331786707044,sports ball,381.5,118.5
2.0,1.52,0.0026771726552397013,sports ball,364.5,286.5
2.0,1.52,0.012189673259854317,sports ball,534.0,291.5
2.0,1.52,0.07088723033666611,sports ball,551.0,292.5
2.0,1.52,0.0076510789804160595,sports ball,916.5,292.5
2.0,1.52,0.001605372759513557,sports ball,563.5,308.0
2.0,1.52,0.004596828483045101,sports ball,924.0,310.5
2.0,1.52,0.0024979421868920326,sports ball,625.5,561.5
3.0,2.28,0.009351374581456184,sports ball,379.0,71.5
3.0,2.28,0.012928398326039314,sports ball,913.5,68.0
3.0,2.28,0.06432652473449707,sports ball,1179.5,247.5
3.0,2.28,0.0017263905610889196,sports ball,1263.5,329.0
3.0,2.28,0.003388743381947279,sports ball,1267.5,386.5
3.0,2.28,0.002971005393192172,sports ball,574.0,101.0
3.0,2.28,0.0011925753206014633,sports ball,381.5,118.5
3.0,2.28,0.0024620667099952698,sports ball,363.5,287.0
3.0,2.28,0.007367532700300217,sports ball,628.5,287.5
3.0,2.28,0.0021801949478685856,sports ball,702.0,284.0
3.0,2.28,0.007242515683174133,sports ball,917.0,292.5
3.0,2.28,0.004721192177385092,sports ball,1173.5,273.0
3.0,2.28,0.0021514366380870342,sports ball,630.0,561.5
4.0,3.04,0.009479542262852192,sports ball,378.5,71.5
4.0,3.04,0.06516868621110916,sports ball,1179.5,247.5
4.0,3.04,0.0017410293221473694,sports ball,1264.0,329.0
4.0,3.04,0.003386656055226922,sports ball,1267.5,386.5
4.0,3.04,0.01369298156350851,sports ball,913.5,68.0
4.0,3.04,0.002448269398882985,sports ball,574.5,100.5
4.0,3.04,0.001202593557536602,sports ball,785.0,104.5
4.0,3.04,0.0012163026258349419,sports ball,381.5,118.5
4.0,3.04,0.0011323411017656326,sports ball,632.0,120.5
4.0,3.04,0.0018179306061938405,sports ball,899.0,118.0
4.0,3.04,0.002416155533865094,sports ball,362.5,287.5
4.0,3.04,0.0020715161226689816,sports ball,702.5,284.0
